,Year,Quarter,Month,DayofMonth,FlightDate,Flight_Number_Reporting_Airline,OriginAirportID,DayOfWeek,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,DepTime,Flights,DepDelay,ArrDelay,ArrTime,DepTimeBlk,ArrTimeBlk
917840,2019,2,5,21,2019-05-21,1952,14771,2,SFO,"San Francisco, CA",CA,SAN,"San Diego, CA",CA,0843,1.00,-2.00,-5.00,1015,0800-0859,1000-1059
917841,2019,2,5,21,2019-05-21,1953,14679,2,SAN,"San Diego, CA",CA,SFO,"San Francisco, CA",CA,0924,1.00,24.00,25.00,1105,0900-0959,1000-1059
917842,2019,2,5,21,2019-05-21,1954,14771,2,SFO,"San Francisco, CA",CA,SAN,"San Diego, CA",CA,1147,1.00,7.00,-5.00,1310,1100-1159,1300-1359
917843,2019,2,5,21,2019-05-21,1957,14679,2,SAN,"San Diego, CA",CA,SFO,"San Francisco, CA",CA,1122,1.00,-8.00,2.00,1312,1100-1159,1300-1359
917844,2019,2,5,21,2019-05-21,1958,14771,2,SFO,"San Francisco, CA",CA,SAN,"San Diego, CA",CA,1500,1.00,0.00,10.00,1645,1500-1559,1600-1659
917845,2019,2,5,21,2019-05-21,1959,14679,2,SAN,"San Diego, CA",CA,SFO,"San Francisco, CA",CA,1358,1.00,-7.00,-2.00,1538,1400-1459,1500-1559
917846,2019,2,5,21,2019-05-21,1962,14771,2,SFO,"San Francisco, CA",CA,SAN,"San Diego, CA",CA,1831,1.00,1.00,-3.00,2002,1800-1859,2000-2059
917847,2019,2,5,21,2019-05-21,1963,14679,2,SAN,"San Diego, CA",CA,SFO,"San Francisco, CA",CA,1740,1.00,0.00,6.00,1921,1700-1759,1900-1959
917848,2019,2,5,21,2019-05-21,1964,14771,2,SFO,"San Francisco, CA",CA,SAN,"San Diego, CA",CA,2229,1.00,49.00,45.00,2400,2100-2159,2300-2359
917849,2019,2,5,21,2019-05-21,1969,14679,2,SAN,"San Diego, CA",CA,SFO,"San Francisco, CA",CA,2201,1.00,71.00,81.00,2346,2000-2059,2200-2259
